scenario;co2price;wind_lim;pv_cost;variable;AT;DE
base;120;14;16715;add_coal_sub_chp;3,0382476470588236;13,709070176470588
base;120;14;16715;add_coal_sc;0,0;0,0
base;120;14;16715;add_coal_sc_chp;0,0;0,0
base;120;14;16715;add_ng_stm;0,0;0,0
base;120;14;16715;add_ng_stm_chp;0,0;0,0
base;120;14;16715;add_ng_cbt_lo;0,0;0,0
base;120;14;16715;add_ng_cbt_lo_chp;0,0;0,0
base;120;14;16715;add_ng_cbt_hi;0,0;0,0
base;120;14;16715;add_ng_cbt_hi_chp;0,0;0,0
base;120;14;16715;add_ng_cc_lo;0,0;0,0
base;120;14;16715;add_ng_cc_lo_chp;0,0;0,0
base;120;14;16715;add_ng_cc_hi;0,0;7,518071712409226
base;120;14;16715;add_ng_cc_hi_chp;0,0;0,0
base;120;14;16715;add_ng_mtr;0,0;0,0
base;120;14;16715;add_ng_mtr_chp;0,0;0,0
base;120;14;16715;add_oil_stm;0,0;0,0
base;120;14;16715;add_oil_stm_chp;0,0;0,0
base;120;14;16715;add_oil_cbt;0,818141743589743;9,163971688154799
base;120;14;16715;add_oil_cbt_chp;0,0;0,0
base;120;14;16715;add_oil_cc;0,0;0,0
base;120;14;16715;add_bio;0,0;0,0
base;120;14;16715;add_bio_chp;0,0;0,0
base;120;14;16715;add_ng_boiler_chp;0,0;0,0
base;120;14;16715;add_heatpump_pth;0,0;0,0
base;120;14;16715;cost_airpol;266286,7239117193;2535573,8716498152
base;120;12;36715;syscost;3283317,889191321;25051789,54395281
base;120;12;36715;co2emission;4792,068117975231;57718,176074260584
base;120;12;36715;curtail;2082,7375803424707;9537,412407422897
base;120;12;36715;gen_el;16870,15314277538;220696,1880457497
base;120;12;36715;gen_ht;22516,666599999215;127978,02410000001
base;120;12;36715;gen_biomass;5660,832058524268;81394,22722553024
base;120;12;36715;gen_renew;70717,08650983554;338317,63472554705
base;120;12;36715;cons_spend;5305376,56361657;36603087,51170124
base;120;12;36715;prod_surplus;5810132,3299199045;26126139,98328988
base;120;12;36715;exports;;5317,582831958058
base;120;12;36715;export_value;1356622,6276414758;515483,01612030703
base;120;12;36715;import_value;-515483,01612030703;-1356622,6276414758
base;120;12;36715;in_storages;6022,125154697365;60589,885952520526
base;120;12;36715;gen_storages;10651,716611855152;54589,6265469686
base;120;12;36715;price_el;64,64864939880327;67,10905849365476
base;120;12;36715;price_ht;28,64158345549899;27,087065626981946
base;120;12;36715;add_pv;8,357667110636159;8,281796695425442
base;120;12;36715;add_ror;0,0;0,0
base;120;12;36715;add_wind_off;0,0;15,0
base;120;12;36715;add_wind_on;12,0;7,825649632800075
base;120;12;36715;add_nuc;0,0;1,0
base;120;12;36715;add_lig_stm;0,0;1,0
base;120;12;36715;add_lig_stm_chp;0,0;0,0
base;120;12;36715;add_lig_boa;0,0;0,0
base;120;12;36715;add_lig_boa_chp;0,0;0,0
base;120;12;36715;add_coal_sub;0,0;0,0
base;120;12;36715;add_coal_sub_chp;2,8109476470588235;12,99523244641114
base;120;12;36715;add_coal_sc;0,0;0,0
base;120;12;36715;add_coal_sc_chp;0,0;0,0
base;120;12;36715;add_ng_stm;0,0;0,0
base;120;12;36715;add_ng_stm_chp;0,0;0,0
base;120;12;36715;add_ng_cbt_lo;0,0;0,0
base;120;12;36715;add_ng_cbt_lo_chp;0,0;0,0
base;120;12;36715;add_ng_cbt_hi;0,0;0,0
base;120;12;36715;add_ng_cbt_hi_chp;0,0;0,0
base;120;12;36715;add_ng_cc_lo;0,0;0,0
base;120;12;36715;add_ng_cc_lo_chp;0,0;0,0
base;120;12;36715;add_ng_cc_hi;0,0;15,870431550270048
base;120;12;36715;add_ng_cc_hi_chp;0,0;0,0
base;120;12;36715;add_ng_mtr;0,0;0,0
base;120;12;36715;add_ng_mtr_chp;0,0;0,0
base;120;12;36715;add_oil_stm;0,0;0,0
base;120;12;36715;add_oil_stm_chp;0,0;0,0
base;120;12;36715;add_oil_cbt;1,1047855590210927;6,4795168647647206
base;120;12;36715;add_oil_cbt_chp;0,0;0,0
base;120;12;36715;add_oil_cc;0,0;0,0
base;120;12;36715;add_bio;0,0;0,0
base;120;12;36715;add_bio_chp;0,0;0,0
base;120;12;36715;add_ng_boiler_chp;0,0;0,0
base;120;12;36715;add_heatpump_pth;0,0;0,0
base;120;12;36715;cost_airpol;211358,5980439319;2420425,242506503
base;120;12;16715;syscost;3461902,9854421034;23598770,76459724
base;120;12;16715;co2emission;3994,0799867376986;42387,411261536094
base;120;12;16715;curtail;6871,001263695238;14218,79837991569
base;120;12;16715;gen_el;14172,242866192619;170812,80307992204
base;120;12;16715;gen_ht;22516,666599999073;127978,02410001909
base;120;12;16715;gen_biomass;4858,651201916431;74147,79959573313
base;120;12;16715;gen_renew;84877,62659888905;396250,7567683258
base;120;12;16715;cons_spend;4625696,894756879;32794664,56015512
base;120;12;16715;prod_surplus;5644476,37136867;25098990,127741814
base;120;12;16715;exports;;10618,739054779955
base;120;12;16715;export_value;1582153,7707210346;300753,48273530003
base;120;12;16715;import_value;-300753,48273530003;-1582153,7707210346
base;120;12;16715;in_storages;11467,837302508595;117343,37539074598
base;120;12;16715;gen_storages;15142,10206943751;106825,93008778538
base;120;12;16715;price_el;56,31481448480248;60,79489909110171
base;120;12;16715;price_ht;26,022297162543943;25,59134894489666
base;120;12;16715;add_pv;24,871535886193787;88,53041501641407
base;120;12;16715;add_ror;0,0;0,0
base;120;12;16715;add_wind_off;0,0;15,0
base;120;12;16715;add_wind_on;12,0;0,0
base;120;12;16715;add_nuc;0,0;1,0
base;120;12;16715;add_lig_stm;0,0;1,0
base;120;12;16715;add_lig_stm_chp;0,0;0,0
base;120;12;16715;add_lig_boa;0,0;0,0
base;120;12;16715;add_lig_boa_chp;0,0;0,0
base;120;12;16715;add_coal_sub;0,0;0,0
base;120;12;16715;add_coal_sub_chp;2,9542439999999996;13,62543791743812
base;120;12;16715;add_coal_sc;0,0;0,0
base;120;12;16715;add_coal_sc_chp;0,0;0,0
base;120;12;16715;add_ng_stm;0,0;0,0
base;120;12;16715;add_ng_stm_chp;0,0;0,0
base;120;12;16715;add_ng_cbt_lo;0,0;0,0
base;120;12;16715;add_ng_cbt_lo_chp;0,0;0,0
base;120;12;16715;add_ng_cbt_hi;0,0;0,0
base;120;12;16715;add_ng_cbt_hi_chp;0,0;0,0
base;120;12;16715;add_ng_cc_lo;0,0;0,0
base;120;12;16715;add_ng_cc_lo_chp;0,0;0,0
base;120;12;16715;add_ng_cc_hi;0,0;7,583241846885048
base;120;12;16715;add_ng_cc_hi_chp;0,0;0,0
base;120;12;16715;add_ng_mtr;0,0;0,0
base;120;12;16715;add_ng_mtr_chp;0,0;0,0
base;120;12;16715;add_oil_stm;0,0;0,0
base;120;12;16715;add_oil_stm_chp;0,0;0,0
base;120;12;16715;add_oil_cbt;0,9021453906485669;9,080469183408592
base;120;12;16715;add_oil_cbt_chp;0,0;0,0
base;120;12;16715;add_oil_cc;0,0;0,0
base;120;12;16715;add_bio;0,0;0,0
base;120;12;16715;add_bio_chp;0,0;0,0
base;120;12;16715;add_ng_boiler_chp;0,0;0,0
base;120;12;16715;add_heatpump_pth;0,0;0,0
base;120;12;16715;cost_airpol;276005,4553595035;2538950,5193628175
base;120;10;36715;syscost;3266283,5160775767;25115708,08068473
base;120;10;36715;co2emission;4959,076186616638;57714,64038685713
base;120;10;36715;curtail;1822,3289061207079;10030,387742720535
base;120;10;36715;gen_el;17296,54760174032;220668,39324105924
base;120;10;36715;gen_ht;22516,66659999921;127978,02410001276
base;120;10;36715;gen_biomass;5731,128244672571;81338,31703059954
base;120;10;36715;gen_renew;68809,39822171089;339906,5827519575
base;120;10;36715;cons_spend;5382004,032152528;36612699,780848354
base;120;10;36715;prod_surplus;5825929,059446542;26190867,925360076
base;120;10;36715;exports;;4282,967145763638
base;120;10;36715;export_value;1313179,9624983747;536720,0905300925
base;120;10;36715;import_value;-536720,0905300925;-1313179,9624983747
base;120;10;36715;in_storages;5674,720683605764;60958,510691330725
base;120;10;36715;gen_storages;10389,534522590671;54911,42591625119
base;120;10;36715;price_el;65,67174187469902;67,13163155052128
base;120;10;36715;price_ht;28,916091139610288;27,092281431931568
base;120;10;36715;add_pv;10,832767819091107;7,261987527191097
base;120;10;36715;add_ror;0,0;0,0
base;120;10;36715;add_wind_off;0,0;15,0
base;120;10;36715;add_wind_on;10,0;9,430684618011766
base;120;10;36715;add_nuc;0,0;1,0
base;120;10;36715;add_lig_stm;0,0;1,0
base;120;10;36715;add_lig_stm_chp;0,0;0,0
base;120;10;36715;add_lig_boa;0,0;0,0
base;120;10;36715;add_lig_boa_chp;0,0;0,0
base;120;10;36715;add_coal_sub;0,0;0,0
base;120;10;36715;add_coal_sub_chp;2,7539802984609882;13,0089
base;120;10;36715;add_coal_sc;0,0;0,0
base;120;10;36715;add_coal_sc_chp;0,0;0,0
base;120;10;36715;add_ng_stm;0,0;0,0
base;120;10;36715;add_ng_stm_chp;0,0;0,0
base;120;10;36715;add_ng_cbt_lo;0,0;0,0
base;120;10;36715;add_ng_cbt_lo_chp;0,0;0,0
base;120;10;36715;add_ng_cbt_hi;0,0;0,0
base;120;10;36715;add_ng_cbt_hi_chp;0,0;0,0
base;120;10;36715;add_ng_cc_lo;0,0;0,0
base;120;10;36715;add_ng_cc_lo_chp;0,0;0,0
base;120;10;36715;add_ng_cc_hi;0,0;15,940895232176048
base;120;10;36715;add_ng_cc_hi_chp;0,0;0,0
