;;;;;AT;DE;Value
base;0;14;36424;deco_g_ng_cc_lo;0,0;0,0;
base;0;14;36424;deco_g_ng_cc_lo_chp;0,0;0,0;
base;0;14;36424;deco_g_ng_mtr;0,0;0,0;
base;0;14;36424;deco_g_ng_mtr_chp;0,0;0,0;
base;0;14;36424;deco_g_ng_stm;0,13932;0,0;
base;0;14;36424;deco_g_ng_stm_chp;0,0;0,0;
base;0;14;36424;deco_g_nuc;0,0;0,0;
base;0;14;36424;deco_g_oil_cbt;0,007;0,0;
base;0;14;36424;deco_g_oil_cbt_chp;0,0;0,297;
base;0;14;36424;deco_g_oil_cc;0,06;0,0;
base;0;14;36424;deco_g_oil_cc_chp;0,0;0,0;
base;0;14;36424;deco_g_oil_stm;0,148;0,0;
base;0;14;36424;deco_g_oil_stm_chp;0,0;0,0;
base;0;14;36424;add_s_battery;0,0;7,6370449118613735;
base;0;14;36424;add_s_h2_stack;0,0;0,0;
base;0;14;36424;add_s_hyd_psp_day;0,0;0,0;
base;0;14;36424;add_s_hyd_psp_season;0,0;0,0;
base;0;14;36424;add_s_hyd_psp_week;0,0;0,0;
base;0;14;36424;add_s_hyd_res_day;0,0;0,0;
base;0;14;36424;add_s_hyd_res_season;0,0;0,0;
base;0;14;36424;add_s_hyd_res_week;0,0;0,0;
base;0;14;36424;add_v_battery;0,0;7,6370449118613735;
base;0;14;36424;add_v_h2_stack;0,0;0,0;
base;0;14;36424;add_v_hyd_psp_day;0,0;0,0;
base;0;14;36424;add_v_hyd_psp_season;0,0;0,0;
base;0;14;36424;add_v_hyd_psp_week;0,0;0,0;
base;0;14;36424;add_v_hyd_res_day;0,0;0,0;
base;0;14;36424;add_v_hyd_res_season;0,0;0,0;
base;0;14;36424;add_v_hyd_res_week;0,0;0,0;
base;0;14;36424;add_x_AT;0,0;0,0;
base;0;14;36424;add_x_DE;0,0;0,0;
base;0;14;36424;cost_air_pol_Biomass;79683,50715612966;0,0;
base;0;14;36424;cost_air_pol_Coal;0,0;1299996,1425034332;
base;0;14;36424;cost_air_pol_Gas;97124,37773135946;656122,606885957;
base;0;14;36424;cost_air_pol_Lignite;0,0;1112557,3681670097;
base;0;14;36424;cost_air_pol_Nuclear;0,0;0,0;
base;0;14;36424;cost_air_pol_Oil;0,0;5864,95204470967;
base;0;14;36424;cost_air_pol_Power;0,0;0,0;
base;0;14;36424;cost_air_pol_Solar;5510,688;367044,0;
base;0;14;36424;cost_air_pol_Water;0,0;0,0;
base;0;14;36424;cost_air_pol_Wind;37474,07560890821;299519,8;
base;0;14;36424;AnnGByTec_('bio', 'el', 'Biomass');1754,6882640683864;0,0;
base;0;14;36424;AnnGByTec_('bio_chp', 'el', 'Biomass');3984,411636597935;0,0;
base;0;14;36424;AnnGByTec_('bio_chp', 'ht', 'Biomass');283,13615241869104;0,0;
base;0;14;36424;AnnGByTec_('coal_sc', 'el', 'Coal');0,0;4597,991702594099;
base;0;14;36424;AnnGByTec_('coal_sc_chp', 'el', 'Coal');0,0;17515,213420017644;
base;0;14;36424;AnnGByTec_('coal_sc_chp', 'ht', 'Coal');0,0;4004,1208880792137;
base;0;14;36424;AnnGByTec_('coal_sub', 'el', 'Coal');0,0;23326,092112179038;
base;0;14;36424;AnnGByTec_('coal_sub_chp', 'el', 'Coal');0,0;34826,52663987102;
base;0;14;36424;AnnGByTec_('coal_sub_chp', 'ht', 'Coal');0,0;9749,325811266184;
base;0;14;36424;AnnGByTec_('heatpump_pth', 'ht', 'Power');5110,297512169441;224,84880994932544;
base;0;14;36424;AnnGByTec_('lig_boa', 'el', 'Lignite');0,0;4978,068479999068;
base;0;14;36424;AnnGByTec_('lig_boa_chp', 'el', 'Lignite');0,0;4316,206515632328;
base;0;14;36424;AnnGByTec_('lig_boa_chp', 'ht', 'Lignite');0,0;1821,7186957862234;
base;0;14;36424;AnnGByTec_('lig_stm', 'el', 'Lignite');0,0;28549,350767740707;
base;0;14;36424;AnnGByTec_('lig_stm_chp', 'el', 'Lignite');0,0;51082,970392165866;
base;0;14;36424;AnnGByTec_('lig_stm_chp', 'ht', 'Lignite');0,0;61029,28815249914;
base;0;14;36424;AnnGByTec_('ng_boiler_chp', 'ht', 'Gas');2489,350831966665;1182,622926421004;
base;0;14;36424;AnnGByTec_('ng_cbt_hi', 'el', 'Gas');0,0;67,15838208615618;
base;0;14;36424;AnnGByTec_('ng_cbt_lo', 'el', 'Gas');0,0;580,7281451131721;
base;0;14;36424;AnnGByTec_('ng_cc_hi', 'el', 'Gas');0,0;28891,47534485186;
base;0;14;36424;AnnGByTec_('ng_cc_hi_chp', 'el', 'Gas');15886,482505425389;38092,045734989726;
base;0;14;36424;AnnGByTec_('ng_cc_hi_chp', 'ht', 'Gas');10305,593318014697;9961,14250227236;
base;0;14;36424;AnnGByTec_('ng_cc_lo', 'el', 'Gas');734,0006769549152;9539,990640323833;
base;0;14;36424;AnnGByTec_('ng_cc_lo_chp', 'el', 'Gas');1954,0307827036602;29439,76849205526;
base;0;14;36424;AnnGByTec_('ng_cc_lo_chp', 'ht', 'Gas');1871,5090189979992;14154,668484622422;
base;0;14;36424;AnnGByTec_('ng_mtr', 'el', 'Gas');0,0;68,24994801174716;
base;0;14;36424;AnnGByTec_('ng_mtr_chp', 'el', 'Gas');0,0;615,7966648144669;
base;0;14;36424;AnnGByTec_('ng_mtr_chp', 'ht', 'Gas');0,0;597,24901559419;
base;0;14;36424;AnnGByTec_('ng_stm', 'el', 'Gas');0,0;1545,169979876707;
base;0;14;36424;AnnGByTec_('ng_stm_chp', 'el', 'Gas');1526,108155354985;30373,269764820372;
base;0;14;36424;AnnGByTec_('ng_stm_chp', 'ht', 'Gas');2456,779766432704;25253,0388135018;
base;0;14;36424;AnnGByTec_('oil_cbt', 'el', 'Oil');0,0;255,12128428314625;
base;0;14;36424;AnnGByTec_('oil_stm', 'el', 'Oil');0,0;86,97517045638199;
base;0;14;36424;AnnGByTec_('oil_stm_chp', 'el', 'Oil');0,0;390,1417980488233;
base;0;14;36424;cost_airpol;219792,64849639736;3741104,869601109;
base;0;12;36424;cost_zonal;2404671,0444127196;14414711,699612476;
base;0;12;36424;AnnCO2Emissions;8272,312234002733;237289,64517440723;
base;0;12;36424;AnnCurtail;1313,3401141257718;6129,545764346769;
base;0;12;36424;AnnG_el;25840,244327773446;309137,78907342587;
base;0;12;36424;AnnG_ht;22516,666600001412;127978,02409997885;
base;0;12;36424;AnnGBiomass;5739,099900665849;;
base;0;12;36424;AnnGFossil;42617,81102710901;437115,8131734047;
base;0;12;36424;AnnR;59663,2641193349;284294,9393899988;
base;0;12;36424;AnnSpendingEl;2395286,40163583;20629332,60100671;
base;0;12;36424;AnnProdSurplus;2308372,7504491536;12405962,833745796;
base;0;12;36424;AnnX;;11641,731099543204;
base;0;12;36424;AnnValueX;814968,1303802006;183488,22512646444;
base;0;12;36424;AnnValueI;-183488,22512646444;-814968,1303802006;
base;0;12;36424;AnnSIn;6532,793561715395;31100,72013853585;
base;0;12;36424;AnnSOut;14706,533414988779;29269,84994282056;
base;0;12;36424;AvgPriceEl;29,33151713699481;32,76695930443156;
base;0;12;36424;AvgPriceHt;12,803461824572915;9,731248084486374;
base;0;12;36424;cost_invest_g;2117,751198760121;432713,0120469862;
base;0;12;36424;cost_invest_r;716318,2518315588;0,0;
base;0;12;36424;cost_invest_sv;0,0;272796,2812580459;
base;0;12;36424;cost_invest_x;0,0;0,0;
base;0;12;36424;CostCO2;;;False
base;0;12;36424;CostFuel;696203,8846623438;6901277,027339082;
base;0;12;36424;CostOMG;337524,1879286597;3528692,234804526;
base;0;12;36424;CostOMR;652506,9687905143;3279233,144168009;
base;0;12;36424;add_r_pv;0,0;0,0;
base;0;12;36424;add_r_ror;0,0;0,0;
base;0;12;36424;add_r_wind_off;0,0;0,0;
base;0;12;36424;add_r_wind_on;10,588045428791315;0,0;
base;0;12;36424;add_g_bio;0,0;0,0;
base;0;12;36424;add_g_bio_boiler_chp;0,0;0,0;
base;0;12;36424;add_g_bio_chp;0,0;0,0;
base;0;12;36424;add_g_coal_igcc;0,0;0,0;
base;0;12;36424;add_g_coal_sc;0,0;0,0;
base;0;12;36424;add_g_coal_sc_chp;0,0;0,0;
base;0;12;36424;add_g_coal_sub;0,0;0,0;
base;0;12;36424;add_g_coal_sub_chp;0,0;0,0;
base;0;12;36424;add_g_coal_usc;0,0;0,0;
base;0;12;36424;add_g_coal_usc_chp;0,0;0,0;
base;0;12;36424;add_g_eboi_pth;0,0;0,0;
base;0;12;36424;add_g_heatpump_pth;0,0;0,0;
base;0;12;36424;add_g_hpa_pth;0,0;0,0;
base;0;12;36424;add_g_lig_boa;0,0;0,0;
base;0;12;36424;add_g_lig_boa_chp;0,0;0,0;
base;0;12;36424;add_g_lig_stm;0,0;0,0;
base;0;12;36424;add_g_lig_stm_chp;0,0;0,0;
base;0;12;36424;add_g_ng_boiler_chp;0,49745779999999984;0,0;
base;0;12;36424;add_g_ng_cbt_hi;0,0;0,0;
base;0;12;36424;add_g_ng_cbt_hi_chp;0,0;0,0;
base;0;12;36424;add_g_ng_cbt_lo;0,0;0,0;
base;0;12;36424;add_g_ng_cbt_lo_chp;0,0;0,0;
base;0;12;36424;add_g_ng_cc_hi;0,0;0,9244405750015803;
base;0;12;36424;add_g_ng_cc_hi_chp;0,0;0,0;
base;0;12;36424;add_g_ng_cc_lo;0,0;0,0;
base;0;12;36424;add_g_ng_cc_lo_chp;0,0;0,0;
base;0;12;36424;add_g_ng_mtr;0,0;0,0;
base;0;12;36424;add_g_ng_mtr_chp;0,0;0,0;
base;0;12;36424;add_g_ng_stm;0,0;0,19857821222852834;
base;0;12;36424;add_g_ng_stm_chp;0,0;15,998242105263156;
base;0;12;36424;add_g_nuc;0,0;0,0;
base;0;12;36424;add_g_oil_cbt;0,0;0,0;
base;0;12;36424;add_g_oil_cbt_chp;0,0;0,0;
base;0;12;36424;add_g_oil_cc;0,0;0,0;
base;0;12;36424;add_g_oil_cc_chp;0,0;0,0;
base;0;12;36424;add_g_oil_stm;0,0;0,7329166960461864;
base;0;12;36424;add_g_oil_stm_chp;0,0;2,098905423296242;
base;0;12;36424;deco_g_bio;0,0;3,2552000000000003;
base;0;12;36424;deco_g_bio_boiler_chp;0,8;2,6;
base;0;12;36424;deco_g_bio_chp;0,0;0,0;
base;0;12;36424;deco_g_coal_igcc;0,0;0,0;
base;0;12;36424;deco_g_coal_sc;0,0;0,0;
